Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
01/15/2022,55093,2,Pierce County,WI,96.8,20515,48,20515,50.5,19794,53.2,18704,55.1,5887,90.2,18180,42.5,18180,44.7,17625,47.4,16660,49.1,5482,84,8179,45,8116,48.7,5977,59.6,3688,67.3,A,3,3,3,3,4,Metro,3,3,3,3,4,42754,40661,37218,33941,6523
01/15/2022,47033,2,Crockett County,TN,97.9,7467,52.5,7464,55.7,7395,61.1,7056,64.7,2310,84.5,6601,46.4,6600,49.2,6570,54.3,6291,57.7,2153,78.8,2423,36.7,2408,38.3,2010,50.4,1296,60.2,D,15,15,16,16,16,Metro,3,3,4,4,4,14230,13411,12099,10908,2733
01/15/2022,38033,2,Golden Valley County,ND,92.7,648,36.8,648,38.8,636,41.4,607,44,291,64.5,524,29.8,524,31.4,513,33.4,490,35.5,232,51.4,180,34.4,178,36.3,159,42.9,114,49.1,A,1,2,2,2,3,Non-metro,5,6,6,6,7,1761,1670,1536,1379,451
01/15/2022,22065,2,Madison Parish,LA,96.8,5717,52.2,5717,56.1,5630,61.3,5326,63.8,1483,90.7,4662,42.6,4662,45.7,4625,50.4,4389,52.6,1216,74.4,1345,28.9,1338,30.5,1071,44.2,670,55.1,D,15,15,16,16,16,Non-metro,7,7,8,8,8,10951,10196,9184,8347,1635
01/15/2022,12019,2,Clay County,FL,98.7,125487,57.2,125478,60.5,122861,65.5,114548,67.8,33254,92.8,106764,48.7,106763,51.5,105044,56,97794,57.9,28036,78.2,35407,33.2,35017,35.8,26998,47.3,16751,59.7,B,7,8,8,8,8,Metro,3,4,4,4,4,219252,207368,187699,168898,35844
01/15/2022,17051,2,Fayette County,IL,98,8285,38.8,8285,41.2,8185,44.3,7909,46.8,3014,72.9,7369,34.5,7369,36.7,7317,39.6,7074,41.9,2791,67.5,3002,40.7,2991,42.3,2516,53.2,1731,62,C,10,10,10,11,11,Non-metro,6,6,6,7,7,21336,20099,18463,16898,4136
01/15/2022,20195,2,Trego County,KS,93.7,1143,40.8,1143,42.6,1132,45.6,1090,47.2,407,53.3,1080,38.5,1080,40.2,1072,43.2,1033,44.7,393,51.4,458,42.4,457,44.2,386,56.4,283,72,A,2,3,3,3,3,Non-metro,6,7,7,7,7,2803,2686,2480,2310,764
01/15/2022,30103,2,Treasure County,MT,95.8,361,51.9,361,56.4,359,61.5,355,64.7,181,90,329,47.3,329,51.4,327,56,325,59.2,171,85.1,135,41,135,41.5,132,50.8,98,57.3,A,3,4,4,4,4,Non-metro,7,8,8,8,8,696,640,584,549,201
01/15/2022,48307,2,McCulloch County,TX,99.1,3341,41.8,3341,44.2,3319,48.5,3220,51.8,1412,78.8,2987,37.4,2987,39.5,2979,43.6,2904,46.7,1311,73.2,1132,37.9,1132,39,1021,47.7,731,55.8,C,10,10,11,11,12,Non-metro,6,6,7,7,8,7984,7562,6839,6217,1792
01/15/2022,45021,2,Cherokee County,SC,93.9,22082,38.5,22079,40.9,21834,44.8,20845,47.2,6960,71,18939,33.1,18936,35.1,18808,38.6,17969,40.7,6128,62.5,5962,31.5,5928,33,4880,42.4,3193,52.1,C,10,10,10,11,11,Non-metro,6,6,6,7,7,57300,53926,48708,44191,9806
